ASIN,Product name,Portfolio,,,
B0DTF7P3P5,coconut flour,Rohan,,,
B0DTF6HWW3,coconut flour,Rohan,,,
B097K6F1SL,keto,Rohan,,,
B0DQYGKSVW,keto,Rohan,,,
B0DQH4LQ2Z,khapli multigrain,Rohan,,,
B0FCXSRV94,khapli dalia,Rohan,,,
B0FCXSGMK7,khapli dalia,Rohan,,,
B0DTFBF3SK,chia seeds,Rohan,,,
B0DTF9S4FP,flax seeds,Rohan,,,
B0DNWBRC25,diabaveda,Rohan,,,
B0FJ8GH1W5,khapli lite,Rohan,,,
B0FJ8G37YT,khapli lite,Rohan,,,
B0FL71MG2G,sprouted ragi,Pooja,,,
B0FB2ZDCQM,sprouted ragi,Pooja,,,
B0FL71MG2G,sprouted ragi,Pooja,,,
B0FLDQPD76,amaranth and buckwheat flour combo,Pooja,,,
B0FL71MG2G,sprouted ragi,Pooja,,,
B0F2J4N2XZ,Acacia Powder,Khushi,,,
B0F2J45C53,Acacia Powder,Khushi,,,
B0F2J72J2D,Arjun Chaal Powder,Khushi,,,
B0F2J7XG6J,Arjun Chaal Powder,Khushi,,,
B0DFGY63SX,Baker’s Salt,Khushi,,,
B0C4Z4B2Z4,Cake Flour T45,Khushi,,,
B0DKNMQC6R,Cake Flour T45,Khushi,,,
B0DB64XG9B,Cake Flour T45,Khushi,,,
B0DTF6G2H6,Channa Sattu Atta,Khushi,,,
B0DVSNRT25,Channa Sattu Atta,Khushi,,,
B0DGTW81HR,Dark Rye Flour,Khushi,,,
B097K82VYB,Dark Rye Flour,Khushi,,,
B0F9DV1TQL,Gond Katira (Edible Gum),Khushi,,,
B0FCY29D96,Harad (Haritaki) Powder,Khushi,,,
B0FCX4JXGL,Harad (Haritaki) Powder,Khushi,,,
B0FKTKZC5Y,Himalayan Sea Buckthorn Berries Powder,Khushi,,,
B0F2HYLDXZ,Himalayan Sea Buckthorn Berries Powder,Khushi,,,
B0FKTJCPGN,Himalayan Sea Buckthorn Berries Powder,Khushi,,,
B0F2HY2Y5L,Himalayan Sea Buckthorn Berries Powder,Khushi,,,
B0FN46FH4F,Jamun Seeds Powder,Khushi,,,
B0F9DSYBD7,Jamun Seeds Powder,Khushi,,,
B096G8G8W5,Sail Flour,Khushi,,,
B0977ZYSN2,Sail Flour,Khushi,,,
B01MSMFFYP,Reliq Flour,Khushi,,,
B095PN21PY,Reliq Flour,Khushi,,,
B0DP52LQS4,Reliq Flour,Khushi,,,
B095PNVCMC,Reliq Flour,Khushi,,,
B0DPHN6GVG,Malabar Porotta Flour,Khushi,,,
B0DGTZXC1H,Malted Barley Flour,Khushi,,,
B095Y95DN7,Malted Barley Flour,Khushi,,,
B0F2J7GKZ3,Moringa Powder,Khushi,,,
B0FBWGCR4J,Moringa Powder,Khushi,,,
B0F2J72FZM,Moringa Powder,Khushi,,,
B0F9DX3P4Q,Gond Katira (Edible Gum),Khushi,,,
B0F2J26BJZ,Inulin Powder,Khushi,,,
B0F2HZH9PJ,Inulin Powder,Khushi,,,
B01N2H7BFJ,Reliq Flour,Khushi,,,
B0DTF8J3CF,Virgin Oats Flour,Khushi,,,
B0DTF9FRF9,Virgin Oats Flour,Khushi,,,
B0DTF7HJ7Q,Rice Flour,Khushi,,,
